"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-W-Sparse",10,500,0.8,1,106,2,0.00793850342240917,0.992061720837579,0.96,0.00720021193528543,0.00720032034051627,0.0154773206774791,0.0154771945331543,0.968386192482948,0.968385650514584,58.2,6.04577391979032e-11
"../Scripts/DATA-R-W-Sparse",100,100,0,0.8,74,2,0.192121566687226,0.807878432893502,0.995,0.000371248480973942,0.000371253601549582,-5.74914872098995e-06,-5.74609725453493e-06,0.98134748468991,0.981347373530276,10,8.6087702431898e-13
"../Scripts/DATA-R-W-Sparse",100,100,0,1,92,2,7.67691960511632e-07,0.999999228094828,0.995,1.59790190306793e-06,1.59794945296764e-06,3.09496748300266e-05,3.09638143771605e-05,0.999920098631998,0.999920096297137,102,1.26804400721085e-13
"../Scripts/DATA-R-W-Sparse",100,100,0.5,0.8,80,2,0.202059373385375,0.7979414234168,0.934,0.0012290168992708,0.00122918468569259,-0.000481649006726835,-0.00048169140946857,0.938340465207386,0.938332178475624,24.6,4.22265700625777e-11
"../Scripts/DATA-R-W-Sparse",100,100,0.5,1,98,2,2.73782379712291e-05,0.999972622257153,1,3.99816802047827e-07,3.99818213710484e-07,-3.64613295426357e-06,-3.64811339794266e-06,0.999979981187553,0.999979981103272,35.8,6.69515648578629e-15
"../Scripts/DATA-R-W-Sparse",100,100,0.8,0.8,86,2,0.19728977733121,0.802712374716337,1,2.22909003839254e-05,2.22852688695881e-05,-0.000198500080001504,-0.000198146752873532,0.998889592477863,0.998889852566496,25,4.68286392190545e-11
"../Scripts/DATA-R-W-Sparse",100,100,0.8,1,104,2,0.0011008348125427,0.998899232963789,1,8.08776482653038e-06,8.08759874567945e-06,6.53699625494966e-06,6.53738456235299e-06,0.999597553842819,0.999597561879266,36,1.08032991390732e-13
"../Scripts/DATA-R-W-Sparse",100,500,0,0.8,77,2,0.195235270796601,0.804764725051361,0.995,0.000141764849222893,0.000141763400243172,-0.000353443424529992,-0.000353450208334954,0.992923926124691,0.992924029021424,37.4,1.35079919554958e-12
"../Scripts/DATA-R-W-Sparse",100,500,0,1,95,2,1.1875168936594e-07,0.999999878929096,0.995,4.48630990380912e-07,4.48656552714934e-07,-1.09651140157978e-05,-1.09467282243219e-05,0.999977569823768,0.999977568566816,102,1.20012268617147e-13
"../Scripts/DATA-R-W-Sparse",100,500,0.5,0.8,83,2,0.207969857644571,0.792031126215615,0.926,0.00125959685606001,0.00125969734577348,0.000673948582338274,0.000673613449672535,0.937872658905915,0.937867820982352,44,1.08561335361301e-10
"../Scripts/DATA-R-W-Sparse",100,500,0.5,1,101,2,0.0109488437167851,0.989871020581466,0.936,0.00105898360016135,0.0010498577861679,-0.000417084028138161,-0.000444796598187248,0.947128558301663,0.94749782434115,55.8,1.98734490645101e-06
"../Scripts/DATA-R-W-Sparse",100,500,0.8,0.8,89,2,0.196810968808715,0.803189314827715,1,7.00613491267864e-06,7.00522095698129e-06,-6.5913744197892e-05,-6.58360912446956e-05,0.999654823586798,0.999654857431232,21.2,2.5161903972366e-11
"../Scripts/DATA-R-W-Sparse",100,500,0.8,1,107,2,0.00349810125580774,0.996502218305522,1,1.36962706920605e-05,1.36957151083325e-05,-2.72717101978993e-05,-2.72579237828054e-05,0.999325696545357,0.999325723280036,33.8,6.30500803702629e-13
"../Scripts/DATA-R-W-Sparse",1000,100,0,0.8,75,2,0.195653717102075,0.804346282924269,0.9995,1.21534287859969e-05,1.2153499071542e-05,-6.32157455911164e-05,-6.32162280086307e-05,0.993924486364858,0.993924487611244,9,4.00169608559156e-14
"../Scripts/DATA-R-W-Sparse",1000,100,0,1,93,2,1.96436104491336e-10,0.999999999803541,0.9995,2.93554385373759e-09,2.93554369992382e-09,-2.84797794577279e-07,-2.84796616107063e-07,0.999998532233727,0.999998532233803,102,9.72021519514112e-21
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,0.8,81,2,0.207159581624246,0.792842711622672,0.931,0.000124499220403961,0.000124449602272675,-3.90713496397913e-05,-3.91261421425098e-05,0.937759194411542,0.937784091871512,33.4,5.86569241007609e-11
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,1,99,2,5.79222447887979e-06,0.999994207773087,1,9.91903896752055e-09,9.91897818784033e-09,-1.42664982634855e-07,-1.42583105855651e-07,0.999995038919764,0.999995038951236,52.4,1.01570108157833e-16
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,0.8,87,2,0.19948614975667,0.800514389549775,1,1.12552872332667e-06,1.12546677374825e-06,3.69322913117505e-06,3.73092905506574e-06,0.999437263017782,0.99943729398085,24,2.38671921834083e-12
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,1,105,2,0.000170812475996263,0.999829197063941,1,1.03439964874432e-07,1.03437591549906e-07,-8.60319977028094e-07,-8.59301829469716e-07,0.999948306760327,0.999948307941907,43,1.65032235700638e-15
"../Scripts/DATA-R-W-Sparse",1000,500,0,0.8,78,2,0.198650899051027,0.80134910096619,0.9995,7.97562007450112e-06,7.97566742236163e-06,2.63772154986187e-05,2.63764404457811e-05,0.996012494799232,0.996012494486393,9,3.90000469273098e-14
"../Scripts/DATA-R-W-Sparse",1000,500,0,1,96,2,1.75071647736828e-10,0.999999999903952,0.9995,4.03417899842148e-09,4.03424446120545e-09,4.98584371883047e-07,4.93720757731441e-07,0.999997982914761,0.999997982878791,102,1.19262468843865e-13
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,0.8,84,2,0.19935055315137,0.800649468143103,1,5.31166975577901e-07,5.31177308113896e-07,-3.06845112840136e-06,-3.01202784387078e-06,0.999734621184331,0.999734616409659,42.4,1.00991833418114e-11
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,1,102,2,4.44828905015153e-05,0.999955517081268,1,7.47416496259024e-08,7.4741464555449e-08,-9.0174992353388e-07,-9.0193550358242e-07,0.999962618041078,0.999962618134247,51,4.69254654101977e-16
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,0.8,90,2,0.199836768104234,0.800166509624343,1,4.43348526185692e-07,4.43454416893265e-07,-4.51925145267255e-06,-3.89997405400895e-06,0.99977862307193,0.999778567998587,22.4,1.10879119480485e-10
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,1,108,2,6.62371229312157e-05,0.999933764844502,1,4.04999261050379e-08,4.04995825972091e-08,1.02648120296008e-06,1.02649755808065e-06,0.999979758395986,0.999979758566868,36,6.43889264588138e-16
