"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","MSE_W_P"
"../Scripts/DATA-R-W-Sparse",10,500,0.5,1,100,2,0.990540539507525,0.8,0.034123833698915,0.0240768321664271,0.00478564132071892,0.00353927819001015,0.827091554671637,0.876586600885786,0.013245833658792
"../Scripts/DATA-R-W-Sparse",10,500,0.8,0.8,88,2,0.840233904680291,1,5.25500092076951e-05,6.52469791870657e-05,-0.000128234267761311,-0.000990669433947407,0.999703810389668,0.999689208342976,0.00159055703189544
"../Scripts/DATA-R-W-Sparse",10,500,0.8,1,106,2,0.958364406440689,0.82,0.0632573665298096,0.0309775334860045,-0.0223260430228826,-0.00869021970712709,0.683604537544536,0.846951611431334,0.0375835339243943
"../Scripts/DATA-R-W-Sparse",100,100,0,0.8,74,2,0.805997842516448,1,0.00180936128150161,0.00180922238137986,0.000108185642177513,0.000106394022187739,0.909555723516989,0.90956285839871,3.63223450362367e-07
"../Scripts/DATA-R-W-Sparse",100,100,0,1,92,2,1,1,0.000525928635301603,0.000525928635301565,-0.000165399960326096,-0.000165399987380163,0.973704735430459,0.973704735520872,3.77192328194331e-17
"../Scripts/DATA-R-W-Sparse",100,100,0.5,0.8,80,2,0.798127620454308,0.794,0.00347754867997211,0.00174133452383348,-0.00124891496927385,0.000375168402458907,0.826072598845291,0.912916960977139,0.00201236749241339
"../Scripts/DATA-R-W-Sparse",100,100,0.5,1,98,2,0.993531362734818,0.818,0.00340853425073902,0.0021095209474408,0.000279783594366483,-0.000330352097576429,0.830880153151226,0.894524969268463,0.00155507696828223
"../Scripts/DATA-R-W-Sparse",100,100,0.8,0.8,86,2,0.780728755133955,0.962,0.00226114605416651,0.000246425581222497,-0.00122792137603997,-0.000159608058688426,0.887240182312739,0.987662181535879,0.00364978087509959
"../Scripts/DATA-R-W-Sparse",100,100,0.8,1,104,2,0.95579692330232,0.928,0.00437228485561181,0.00176815467604307,0.00269967532589387,0.00179921709428281,0.779804094663291,0.911620680989407,0.00413759879625211
"../Scripts/DATA-R-W-Sparse",100,500,0,0.8,77,2,0.804333382554026,1,0.000211940839908975,0.000211936679980556,-2.33964756353679e-05,-2.09535336272023e-05,0.989395487034969,0.989395623633357,1.03965043512184e-08
"../Scripts/DATA-R-W-Sparse",100,500,0,1,95,2,1,1,0.000194648759087787,0.000194648759086326,0.000600723789441494,0.000600724212673777,0.990267563217904,0.990267563149234,1.47164681461746e-15
"../Scripts/DATA-R-W-Sparse",100,500,0.5,0.8,83,2,0.79907998435467,0.766,0.00398789609282779,0.00283103368259987,0.00173938559869893,0.00169471843417608,0.801319948765403,0.858422114279455,0.00145018913982657
"../Scripts/DATA-R-W-Sparse",100,500,0.5,1,101,2,0.996355803306784,0.872,0.00225036474083729,0.00130280542706771,0.00254858239158678,0.00189578213127414,0.88727150018906,0.934807972366595,0.00113363379595481
"../Scripts/DATA-R-W-Sparse",100,500,0.8,0.8,89,2,0.790979489554541,0.968,0.00233482149166825,0.000840087086236287,0.00165689576812029,0.00244270826618603,0.880833351465326,0.957875711003458,0.00227954726685363
"../Scripts/DATA-R-W-Sparse",100,500,0.8,1,107,2,0.950247512095788,0.868,0.00609604725711212,0.0026888855699316,-0.001123111498116,0.000397299442023597,0.694848201450724,0.865544764725294,0.00437818287460806
"../Scripts/DATA-R-W-Sparse",1000,100,0,0.8,75,2,0.804449289252504,1,0.000174810332808318,0.000174744414611521,-3.24779668057949e-05,-3.10325093982054e-05,0.912592568273263,0.912625960118602,7.44018629901939e-08
"../Scripts/DATA-R-W-Sparse",1000,100,0,1,93,2,1,1,0.000118172213198189,0.000118172213198172,1.25555700373233e-05,1.25556105240919e-05,0.940913888861404,0.940913888845115,1.77654893328322e-17
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,0.8,81,2,0.797160811200953,0.8348,0.000269357010012657,0.000125631446545478,-0.000144423897715049,5.41497531051851e-05,0.865327677924128,0.937190710280844,0.000187104803202816
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,1,99,2,0.993751727620711,0.8886,0.000182339287931102,7.01925732260036e-05,-3.08925652002741e-05,-2.166686169307e-05,0.908870421004616,0.964903714062656,0.000157890919852074
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,0.8,87,2,0.725045563836197,0.8744,0.000584695111212464,0.000152779530032407,0.00022540372175955,-7.03158181298679e-05,0.707859166066406,0.92361498886911,0.000629070303151872
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,1,105,2,0.927610833624927,0.8778,0.000571184152204797,0.000250359762687247,3.65671399237031e-05,-8.46390630624129e-05,0.714296108161236,0.874820028619342,0.000537687398086086
"../Scripts/DATA-R-W-Sparse",1000,500,0,0.8,78,2,0.801118116460731,1,2.14704668909584e-05,2.14683464874457e-05,-3.93553718029554e-05,-4.00676717209878e-05,0.989264627233559,0.98926565067608,1.90505058012820e-09
"../Scripts/DATA-R-W-Sparse",1000,500,0,1,96,2,1,1,5.95650902985316e-06,5.95650902956504e-06,-2.55241377512191e-05,-2.55240242504995e-05,0.997021743875087,0.997021743871057,2.88942657818855e-16
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,0.8,84,2,0.777508668689153,0.7128,0.000486161111927541,0.000168021748086068,0.000248064153424041,8.23451539605628e-05,0.756934009803977,0.915988243434746,0.000342552950947221
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,1,102,2,0.994090093924464,0.7482,0.000445152121411324,0.000318464182569817,-0.000249362407101717,-0.000100538611254895,0.777449709403946,0.840767901560393,0.000153333183918314
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,0.8,90,2,0.733936590187273,0.8298,0.000807956109848967,0.000366038899758362,7.81661951140291e-05,4.59947233418708e-05,0.596101976949329,0.816987334023596,0.000578056019279913
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,1,108,2,0.936299655909922,0.85,0.000761162162584853,0.000423243243758097,-0.000561114853874583,-0.000416162324407238,0.619494737462111,0.788378343506933,0.000502913251641419
