"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",100,500,0.5,1,101,2,0.017257423613609,0.993850468729777,0.88,8.75158792186968,8.7411722281953,0.0517639695080179,0.052554015676571,0.901194551850954,0.914799967052646,71.4,0.000222157846867721
"../Scripts/DATA-R-P-Sparse",100,500,0.8,0.8,89,2,0.248338487249724,0.780146044717093,0.906,6.26118332410688,6.2349229860771,-0.0126769397903998,-0.0119813638111553,0.809506153661605,0.851044105088826,36.8,0.000569690639336336
"../Scripts/DATA-R-P-Sparse",100,500,0.8,1,107,2,0.0516313670199361,0.978287456840972,0.936,5.97524215730843,5.95020078244709,-0.0737913059168391,-0.0772571082639157,0.871316990637717,0.909224149520647,44.6,0.000598376477218157
"../Scripts/DATA-R-P-Sparse",1000,100,0,0.8,75,2,0.195562052130095,0.804437947888819,0.9995,1.60343008618821,1.60343008687323,0.00558939197327938,0.00558939428784388,0.96746910869455,0.967469099287482,11,3.78296830761297e-14
"../Scripts/DATA-R-P-Sparse",1000,100,0,1,93,2,8.66635889738847e-11,0.99999999997116,0.9995,1.59482026602261,1.59482026598508,0.00452014030970788,0.00452014641548322,0.999996319139627,0.999996319612163,102,1.15646228191324e-13
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,0.8,81,2,0.213109911628711,0.797394393909007,0.8258,1.49784265004734,1.49634507907731,0.0174074929073349,0.01661887644266,0.890448974370843,0.906069143532469,63.2,2.10086110754353e-05
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,1,99,2,1.03350495886417e-05,0.999996553512092,1,1.49635669859725,1.49635659236581,0.010768234822671,0.0107694294701823,0.999975526410515,0.999976867346682,85.6,1.37771233611751e-08
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,0.8,87,2,0.196433363934755,0.80433978836968,1,1.0238678808548,1.02391778257176,0.0162846971369459,0.0162831836788529,0.999455188483917,0.998699533821649,32.2,1.54630460886992e-06
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,1,105,2,0.049361506264897,0.979984173317208,0.93,1.03356711653867,1.03065309715062,-0.0171853851640273,-0.0171152048036947,0.853412278375486,0.888708489520091,51.6,5.86913591642095e-05
"../Scripts/DATA-R-P-Sparse",1000,500,0,0.8,78,2,0.198930569777656,0.801069430272072,0.9995,2.7561331887385,2.75613318860426,-0.00822573839218343,-0.00822573789961803,0.998691636132455,0.998691636855967,11,9.94557691180298e-14
"../Scripts/DATA-R-P-Sparse",1000,500,0,1,96,2,5.37726278668919e-11,0.999999999981918,0.9995,2.75546698650804,2.75546698649409,-0.0100247383000307,-0.0100247407814567,0.999998273758386,0.999998273893871,102,7.13812825021e-14
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,0.8,84,2,0.214851610099812,0.794781509130936,0.8182,2.56439295635837,2.56257979447866,0.0241418871832775,0.0236258732493054,0.878394052791892,0.893356264066659,74.2,1.92662384614965e-05
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,1,102,2,0.00268103038912431,0.999081917642073,0.9708,2.54921669793476,2.54886653091852,0.00633082827446025,0.00615084814512572,0.990655397714957,0.993793346584431,92.6,3.52589606239406e-06
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,0.8,90,2,0.199073635013607,0.801106484917534,1,1.77339035527242,1.7734041268101,-0.0111334990436341,-0.0111274603260722,0.999865002226844,0.999705483396002,29,3.6023986228269e-07
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,1,108,2,0.029147193642291,0.988066373989297,0.9634,1.78450702403406,1.78198490988378,0.0144546739889253,0.0144961020724163,0.940368664728481,0.962778520237418,59.6,3.44271352631761e-05
"../Scripts/DATA-R-W-Sparse",10,100,0,0.8,73,2,0.152786263424904,0.847227393467448,0.95,0.00985010324102571,0.00983522366656259,0.00722384102957605,0.00739811106823805,0.954751092491177,0.95477129159288,82.8,2.73137847038142e-06
"../Scripts/DATA-R-W-Sparse",10,100,0,1,91,2,1.19664797417756e-05,0.999995741713632,0.95,0.000515974631891438,0.00051348029044259,0.0019333475932834,0.0021371489576874,0.997437272665449,0.997451622297648,102,1.54163867474478e-06
"../Scripts/DATA-R-W-Sparse",10,100,0.5,0.8,79,2,0.178990243357971,0.828740645742076,0.86,0.0250749429592549,0.0211458728482209,-0.0143865492264928,-0.0144013169267897,0.891957824743535,0.903118290630836,69.4,0.00154617782000933
"../Scripts/DATA-R-W-Sparse",10,100,0.5,1,97,2,0.028430559955726,0.989117702638412,0.78,0.0316119946329329,0.025568215634398,0.0134461373597907,0.0187364796773708,0.846565005914167,0.874535970890177,49.4,0.00350965251882752
