n_variables,s_size,p_sparse,VAFx,n_components,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
100,500,0.8,1,3,0.031497651,0.968503083,0.6867,0.009251409,5.906595256,2.63E-04,-0.004180151,0.009252002,5.906254425,1.08E-11,0.958777365,0.96113933,36.94,1.08E-11
1000,100,0,0.8,2,0.195607994,0.804392003,1,9.53E-04,1.604319817,-7.44E-05,0.003344057,9.53E-04,1.604243629,3.12E-12,0.978694656,0.978694656,10,3.12E-12
1000,100,0,0.8,3,0.193403817,0.80659618,1,9.54E-04,1.588167273,5.53E-06,-4.68E-05,9.54E-04,1.588163827,3.23E-12,0.94993326,0.94993326,10,3.23E-12
1000,100,0,0.95,2,0.048905996,0.951094003,1,9.52E-04,1.60045028,-1.92E-05,0.001233445,9.52E-04,1.600324605,4.16E-13,0.994454835,0.994454835,14,4.16E-13
1000,100,0,0.95,3,0.048354011,0.951645988,1,9.53E-04,1.585806105,-3.11E-05,0.001349815,9.53E-04,1.585884301,4.20E-13,0.98032735,0.98032735,14,4.20E-13
1000,100,0,1,2,2.58E-31,1,1,9.52E-04,1.604657077,9.01E-05,-0.003738788,9.52E-04,1.604526108,6.38E-35,0.999999835,0.999999835,102,6.38E-35
1000,100,0,1,3,2.58E-31,1,1,9.52E-04,1.583079215,3.63E-05,-0.001499735,9.52E-04,1.583205365,5.82E-35,0.999999522,0.999999522,102,5.82E-35
1000,100,0.5,0.8,2,0.206831443,0.793170679,0.74871,9.52E-04,1.487956527,2.07E-05,2.47E-04,9.52E-04,1.487972458,5.58E-12,0.959304944,0.959317606,22.61,5.58E-12
1000,100,0.5,0.8,3,0.215088565,0.784914683,0.62382,9.54E-04,1.476205211,-2.02E-05,0.003392424,9.54E-04,1.476120906,8.63E-12,0.910827749,0.910864173,28.65,8.63E-12
1000,100,0.5,0.95,2,0.059124024,0.940876693,0.74892,9.52E-04,1.487137008,1.18E-05,-5.39E-04,9.51E-04,1.487054468,3.44E-12,0.968922014,0.968929349,28.47,3.44E-12
1000,100,0.5,0.95,3,0.070252602,0.929750338,0.62352,9.54E-04,1.474377569,-1.69E-05,-3.46E-04,9.54E-04,1.474342151,1.63E-11,0.922025173,0.922010978,38.09,1.63E-11
1000,100,0.5,1,2,0.010834533,0.989166945,0.75069,9.52E-04,1.486954288,7.93E-05,-0.001966394,9.52E-04,1.486908144,7.92E-13,0.967143288,0.967148097,38.5,7.92E-13
1000,100,0.5,1,3,0.022635609,0.977366347,0.62415,9.54E-04,1.47426795,-6.10E-05,0.001871671,9.54E-04,1.474153964,4.25E-12,0.923094822,0.92309666,41.15,4.25E-12
1000,100,0.8,0.8,2,0.219614082,0.780388755,0.83901,9.43E-04,1.030257044,2.48E-05,-6.03E-04,9.43E-04,1.030290258,2.49E-11,0.964809011,0.964963172,20.83,2.49E-11
1000,100,0.8,0.8,3,0.215892027,0.784110108,0.70999,9.42E-04,1.017652349,-2.30E-06,-0.001149582,9.42E-04,1.017732782,2.20E-11,0.970337612,0.970610016,24.81,2.20E-11
1000,100,0.8,0.95,2,0.067288934,0.932711733,0.83856,9.42E-04,1.028186756,-8.03E-05,0.001343065,9.42E-04,1.028270656,1.33E-12,0.975770314,0.975908864,24.6,1.33E-12
1000,100,0.8,0.95,3,0.066071095,0.933929507,0.70952,9.42E-04,1.017952538,5.58E-05,-0.001548014,9.41E-04,1.017922785,1.15E-12,0.97607555,0.976386166,29,1.15E-12
1000,100,0.8,1,2,0.013299416,0.986700674,0.83854,9.41E-04,1.027424954,6.86E-05,-0.001752298,9.41E-04,1.027413467,6.04E-13,0.982736242,0.982868253,31.55,6.04E-13
1000,100,0.8,1,3,0.019428283,0.980571855,0.71132,9.42E-04,1.01764066,-1.14E-04,0.003128117,9.42E-04,1.017663941,4.23E-13,0.973599852,0.973928058,35.52,4.23E-13
